F_PU1,F_PU2,F_PU3,F_PU8,F_V2,L_T1,P_J14,P_J269,P_J280,P_J302,P_J422,S_PU1,S_PU2,S_PU3,S_PU8,S_V2,ATTACK_FLAG
93.63,93.65,0.0,35.54,0.0,2.44,39.33,36.38,2.98,21.69,29.64,1.0,1.0,0.0,1.0,0.0,0
89.41,89.43,0.0,37.83,0.0,2.66,42.17,38.6,2.98,29.81,26.15,1.0,1.0,0.0,1.0,0.0,0
89.88,89.89,0.0,37.31,0.0,3.11,42.0,38.36,2.98,29.85,25.56,1.0,1.0,0.0,1.0,0.0,0
88.1,88.12,0.0,0.0,0.0,3.62,43.24,39.29,2.98,31.6,28.38,1.0,1.0,0.0,0.0,0.0,0
87.01,87.03,0.0,0.0,0.0,4.08,44.0,39.85,2.98,32.3,28.04,1.0,1.0,0.0,0.0,0.0,0
110.09,0.0,0.0,0.0,0.0,4.53,39.76,27.41,2.99,30.41,24.28,1.0,0.0,0.0,0.0,0.0,0
107.71,0.0,0.0,0.0,0.0,4.84,41.24,28.74,2.99,33.98,26.13,1.0,0.0,0.0,0.0,0.0,0
110.23,0.0,0.0,0.0,0.0,5.19,40.05,27.33,2.99,33.22,25.61,1.0,0.0,0.0,0.0,0.0,0
111.38,0.0,0.0,37.03,0.0,5.22,39.26,26.68,2.99,22.73,27.13,1.0,0.0,0.0,1.0,0.0,0
112.78,0.0,0.0,36.3,0.0,5.11,38.59,25.89,2.99,22.21,25.17,1.0,0.0,0.0,1.0,0.0,0
117.5,0.0,0.0,35.33,88.73,4.73,29.13,23.19,2.99,19.96,28.23,1.0,0.0,0.0,1.0,1.0,0
118.65,0.0,0.0,34.44,82.43,4.24,29.19,22.53,2.99,19.57,28.29,1.0,0.0,0.0,1.0,1.0,0
118.91,0.0,0.0,34.77,85.34,3.74,28.61,22.38,2.99,19.32,27.71,1.0,0.0,0.0,1.0,1.0,0
121.45,0.0,0.0,33.86,73.53,3.25,28.46,20.9,2.99,17.95,27.56,1.0,0.0,0.0,1.0,1.0,0
119.84,0.0,0.0,34.47,80.99,2.7,28.47,21.84,2.99,18.72,27.57,1.0,0.0,0.0,1.0,1.0,0
118.63,0.0,0.0,0.0,87.53,2.25,28.51,22.54,2.99,25.87,27.61,1.0,0.0,0.0,0.0,1.0,0
118.64,0.0,0.0,0.0,86.82,1.93,28.54,22.53,2.99,25.73,27.64,1.0,0.0,0.0,0.0,1.0,0
118.09,0.0,0.0,0.0,81.56,1.65,29.44,22.85,2.99,25.99,28.54,1.0,0.0,0.0,0.0,1.0,0
119.24,0.0,0.0,0.0,75.59,1.43,29.47,22.19,2.99,25.42,28.57,1.0,0.0,0.0,0.0,1.0,0
120.18,0.0,0.0,36.72,69.84,1.15,29.5,21.64,2.99,24.04,28.6,1.0,0.0,0.0,1.0,1.0,0
98.54,98.56,0.0,36.94,79.51,0.93,30.15,33.76,2.97,25.04,29.25,1.0,1.0,0.0,1.0,1.0,0
99.33,99.35,0.0,34.96,74.46,0.84,30.2,33.32,2.97,18.62,29.3,1.0,1.0,0.0,1.0,1.0,0
98.88,98.9,0.0,35.3,74.1,0.7,30.43,33.57,2.97,18.69,29.53,1.0,1.0,0.0,1.0,1.0,0
99.04,99.06,0.0,34.87,77.23,0.59,29.93,33.49,2.97,18.71,29.03,1.0,1.0,0.0,1.0,1.0,0
99.6,99.62,0.0,34.44,75.28,0.49,29.83,33.18,2.97,18.49,28.93,1.0,1.0,0.0,1.0,1.0,0
98.71,98.73,0.0,33.68,78.91,0.35,29.81,33.66,2.97,19.18,28.91,1.0,1.0,0.0,1.0,1.0,0
98.25,98.27,0.0,0.0,81.71,0.32,29.81,33.91,2.97,25.48,28.91,1.0,1.0,0.0,0.0,1.0,0
96.09,96.11,0.0,0.0,66.23,0.44,32.97,35.07,2.98,26.76,32.07,1.0,1.0,0.0,0.0,1.0,0
96.52,96.54,0.0,0.0,78.17,0.7,31.39,34.84,2.98,26.68,30.49,1.0,1.0,0.0,0.0,1.0,0
95.15,95.16,0.0,0.0,82.99,0.93,31.95,35.58,2.98,29.93,31.05,1.0,1.0,0.0,0.0,1.0,0
94.86,94.88,0.0,0.0,64.86,1.28,34.35,35.73,2.98,30.34,33.45,1.0,1.0,0.0,0.0,1.0,0
96.08,96.1,0.0,35.3,55.02,1.57,34.2,35.08,2.98,20.33,33.3,1.0,1.0,0.0,1.0,1.0,0
96.8,96.82,0.0,35.94,67.02,1.61,32.62,34.69,2.98,19.97,31.72,1.0,1.0,0.0,1.0,1.0,0
97.63,97.65,0.0,35.49,62.87,1.61,32.68,34.24,2.97,19.71,31.78,1.0,1.0,0.0,1.0,1.0,0
97.87,97.89,0.0,34.84,60.84,1.55,32.75,34.12,2.97,19.81,31.85,1.0,1.0,0.0,1.0,1.0,0
97.15,97.17,0.0,34.96,67.68,1.47,32.33,34.5,2.97,20.03,31.43,1.0,1.0,0.0,1.0,1.0,0
98.2,98.22,0.0,34.91,65.39,1.45,32.06,33.94,2.97,19.7,31.16,1.0,1.0,0.0,1.0,1.0,0
96.71,96.73,0.0,33.84,71.44,1.35,32.07,34.74,2.98,20.42,31.17,1.0,1.0,0.0,1.0,1.0,0
96.97,96.99,0.0,0.0,72.95,1.45,31.97,34.6,2.98,26.77,31.07,1.0,1.0,0.0,0.0,1.0,0
96.92,96.94,0.0,0.0,75.66,1.59,31.93,34.63,2.98,29.62,31.03,1.0,1.0,0.0,0.0,1.0,0
95.98,96.0,0.0,0.0,75.34,1.79,32.58,35.13,2.98,30.08,31.68,1.0,1.0,0.0,0.0,1.0,0
97.3,97.32,0.0,0.0,67.89,1.93,32.54,34.42,2.97,26.68,31.64,1.0,1.0,0.0,0.0,1.0,0
97.15,97.17,0.0,34.93,66.29,1.91,32.67,34.5,2.97,20.17,31.77,1.0,1.0,0.0,1.0,1.0,0
97.33,97.35,0.0,35.61,48.15,1.87,34.36,34.41,2.97,19.98,33.46,1.0,1.0,0.0,1.0,1.0,0
