F_PU10,F_PU11,L_T6,L_T7,P_J307,P_J317,S_PU10,S_PU11,ATTACK_FLAG
29.87,0.0,5.5,4.39,21.58,71.99,1.0,0.0,0
0.0,0.0,5.44,4.53,29.81,59.76,0.0,0.0,0
0.0,0.0,5.15,3.22,29.85,58.5,0.0,0.0,0
32.68,0.0,4.98,2.4,31.47,72.3,1.0,0.0,0
32.81,0.0,5.39,3.46,32.17,72.53,1.0,0.0,0
30.26,0.0,5.5,4.67,30.3,79.47,1.0,0.0,0
0.0,0.0,5.3,3.9,33.98,59.47,0.0,0.0,0
0.0,0.0,5.0,2.66,33.22,55.73,0.0,0.0,0
31.53,0.0,5.09,2.48,22.61,67.51,1.0,0.0,0
31.38,0.0,5.27,2.57,22.1,67.53,1.0,0.0,0
30.91,0.0,5.43,2.63,19.85,66.85,1.0,0.0,0
30.27,0.0,5.5,2.53,19.47,68.58,1.0,0.0,0
30.14,0.0,5.5,2.7,19.21,68.76,1.0,0.0,0
29.95,0.0,5.5,2.89,17.84,68.01,1.0,0.0,0
30.1,0.0,5.5,2.9,18.61,68.29,1.0,0.0,0
30.88,0.0,5.5,2.95,25.76,72.86,1.0,0.0,0
31.36,0.0,5.5,3.7,25.61,71.1,1.0,0.0,0
31.29,0.0,5.5,4.02,25.87,71.6,1.0,0.0,0
30.78,0.0,5.5,4.38,25.31,72.77,1.0,0.0,0
0.0,0.0,5.43,4.46,24.04,57.4,0.0,0.0,0
0.0,0.0,5.03,2.64,25.04,52.06,0.0,0.0,0
30.85,0.0,4.9,1.72,18.51,65.72,1.0,0.0,0
30.88,0.0,4.93,1.44,18.58,65.69,1.0,0.0,0
30.8,0.0,4.97,1.23,18.59,65.96,1.0,0.0,0
30.76,0.0,5.06,1.2,18.38,65.89,1.0,0.0,0
30.21,0.0,5.13,1.14,19.07,68.4,1.0,0.0,0
31.81,0.0,5.41,1.87,25.36,69.3,1.0,0.0,0
29.96,0.0,5.5,2.69,26.65,76.77,1.0,0.0,0
29.88,0.0,5.5,4.04,26.58,76.95,1.0,0.0,0
0.0,0.0,5.44,4.67,29.93,61.56,0.0,0.0,0
0.0,0.0,5.25,3.87,30.34,58.59,0.0,0.0,0
30.46,0.0,4.91,2.42,20.22,68.85,1.0,0.0,0
30.39,0.0,5.2,2.99,19.86,68.61,1.0,0.0,0
30.51,0.0,5.45,3.39,19.6,67.95,1.0,0.0,0
30.15,0.0,5.5,3.65,19.71,69.22,1.0,0.0,0
30.27,0.0,5.5,3.74,19.93,69.05,1.0,0.0,0
29.81,0.0,5.5,3.76,19.6,70.2,1.0,0.0,0
30.26,0.0,5.5,4.04,20.31,69.49,1.0,0.0,0
30.68,0.0,5.5,4.16,26.66,74.45,1.0,0.0,0
0.0,0.0,5.43,4.46,29.62,57.98,0.0,0.0,0
0.0,0.0,5.05,2.76,30.08,56.59,0.0,0.0,0
32.4,0.0,5.14,2.6,26.55,68.41,1.0,0.0,0
30.73,0.0,5.35,2.78,20.06,67.67,1.0,0.0,0
30.08,0.0,5.5,2.96,19.87,69.61,1.0,0.0,0
30.62,0.0,5.5,3.27,20.48,68.47,1.0,0.0,0
30.61,0.0,5.5,3.24,20.61,68.62,1.0,0.0,0
31.09,0.0,5.5,3.24,20.53,66.94,1.0,0.0,0
31.02,0.0,5.5,2.81,21.1,67.76,1.0,0.0,0
30.62,0.0,5.5,2.68,21.75,69.75,1.0,0.0,0
32.27,0.0,5.5,3.07,30.46,72.79,1.0,0.0,0
31.25,0.0,5.5,3.69,30.96,76.84,1.0,0.0,0
30.19,0.0,5.5,4.79,28.64,78.02,1.0,0.0,0
0.0,0.0,5.25,3.68,31.63,59.86,0.0,0.0,0
0.0,0.0,4.97,2.61,32.12,57.77,0.0,0.0,0
30.45,0.0,5.12,2.74,22.35,70.88,1.0,0.0,0
31.07,0.0,5.49,3.67,21.98,68.48,1.0,0.0,0
30.33,0.0,5.5,4.02,21.59,70.53,1.0,0.0,0
30.71,0.0,5.5,4.27,21.42,69.1,1.0,0.0,0
29.92,0.0,5.5,4.14,21.44,71.7,1.0,0.0,0
30.39,0.0,5.5,4.61,21.58,70.33,1.0,0.0,0
31.81,0.0,5.5,4.77,28.27,72.19,1.0,0.0,0
0.0,0.0,5.12,3.01,31.9,58.64,0.0,0.0,0
32.74,0.0,5.19,2.95,28.27,68.91,1.0,0.0,0
30.88,0.0,5.43,3.2,21.39,68.51,1.0,0.0,0
30.06,0.0,5.5,3.64,21.51,71.33,1.0,0.0,0
29.81,0.0,5.5,4.12,21.58,72.17,1.0,0.0,0
30.04,0.0,5.5,4.68,22.57,72.44,1.0,0.0,0
0.0,0.0,5.23,3.52,29.35,55.58,0.0,0.0,0
31.46,0.0,4.93,2.03,22.18,67.32,1.0,0.0,0
31.7,0.0,5.11,2.19,22.27,66.61,1.0,0.0,0
33.6,0.0,5.22,2.04,29.81,67.24,1.0,0.0,0
33.31,0.0,5.33,1.86,28.88,67.4,1.0,0.0,0
33.37,0.0,5.46,1.83,29.17,67.49,1.0,0.0,0
31.85,0.0,5.5,1.91,29.71,73.5,1.0,0.0,0
29.33,0.0,5.5,2.69,20.46,72.56,1.0,0.0,0
28.5,0.0,5.5,3.55,21.59,76.23,1.0,0.0,0
0.0,0.0,5.5,4.84,27.76,61.33,0.0,0.0,0
0.0,0.0,5.28,3.86,27.24,59.83,0.0,0.0,0
0.0,0.0,5.0,2.74,30.7,58.96,0.0,0.0,0
32.68,0.0,5.2,3.13,27.26,68.11,1.0,0.0,0
32.36,0.0,5.38,3.11,27.32,69.31,1.0,0.0,0
32.04,0.0,5.5,3.6,26.53,69.67,1.0,0.0,0
29.19,0.0,5.5,3.53,19.04,71.6,1.0,0.0,0
29.97,0.0,5.5,4.14,18.71,68.79,1.0,0.0,0
29.07,0.0,5.5,4.04,18.57,71.48,1.0,0.0,0
29.27,0.0,5.5,4.56,18.18,70.5,1.0,0.0,0
0.0,0.0,5.5,4.8,25.35,57.36,0.0,0.0,0
0.0,0.0,5.08,2.84,25.2,56.82,0.0,0.0,0
32.31,0.0,5.17,2.71,25.76,67.93,1.0,0.0,0
32.18,0.0,5.36,2.78,26.04,68.66,1.0,0.0,0
31.45,0.0,5.5,3.14,26.1,71.27,1.0,0.0,0
29.11,0.0,5.5,3.54,19.61,72.42,1.0,0.0,0
29.86,0.0,5.5,4.28,19.55,70.0,1.0,0.0,0
30.37,0.0,5.5,4.42,19.16,67.95,1.0,0.0,0
30.34,0.0,5.5,4.02,19.08,67.97,1.0,0.0,0
30.07,0.0,5.5,3.72,19.0,68.79,1.0,0.0,0
29.94,0.0,5.5,3.71,19.4,69.59,1.0,0.0,0
29.51,0.0,5.5,3.88,19.73,71.28,1.0,0.0,0
28.96,0.0,5.5,4.36,20.06,73.33,1.0,0.0,0
0.0,0.0,5.36,4.15,30.21,60.4,0.0,0.0,0
0.0,0.0,5.11,3.11,30.33,59.96,0.0,0.0,0
31.91,0.0,5.01,2.74,27.65,71.22,1.0,0.0,0
32.32,0.0,5.39,3.62,29.83,71.95,1.0,0.0,0
31.0,0.0,5.5,4.73,29.21,75.93,1.0,0.0,0
0.0,0.0,5.21,3.48,28.9,55.59,0.0,0.0,0
31.38,0.0,5.08,2.5,21.98,67.42,1.0,0.0,0
31.45,0.0,5.25,2.58,22.54,67.72,1.0,0.0,0
31.44,0.0,5.44,2.71,22.44,67.64,1.0,0.0,0
29.44,0.0,5.5,2.89,22.79,74.57,1.0,0.0,0
31.42,0.0,5.5,3.99,23.21,68.51,1.0,0.0,0
31.72,0.0,5.5,3.81,28.74,73.01,1.0,0.0,0
31.92,0.0,5.5,4.39,28.67,72.21,1.0,0.0,0
31.82,0.0,5.5,4.74,28.76,72.65,1.0,0.0,0
0.0,0.0,5.16,3.19,28.14,54.94,0.0,0.0,0
31.05,0.0,5.1,2.46,21.79,68.35,1.0,0.0,0
31.44,0.0,5.35,2.84,21.41,66.62,1.0,0.0,0
31.45,0.0,5.4,2.49,21.03,66.22,1.0,0.0,0
31.46,0.0,5.36,2.0,20.99,66.12,1.0,0.0,0
31.33,0.0,5.34,1.62,20.63,66.22,1.0,0.0,0
31.3,0.0,5.4,1.46,20.53,66.22,1.0,0.0,0
30.97,0.0,5.45,1.35,20.89,67.7,1.0,0.0,0
31.06,0.0,5.5,2.0,28.02,74.53,1.0,0.0,0
31.04,0.0,5.5,3.09,28.12,74.72,1.0,0.0,0
30.59,0.0,5.5,4.07,28.45,76.53,1.0,0.0,0
0.0,0.0,5.41,4.36,32.54,60.95,0.0,0.0,0
0.0,0.0,5.18,3.44,35.38,59.18,0.0,0.0,0
31.34,0.0,5.01,2.66,23.44,69.02,1.0,0.0,0
31.36,0.0,5.29,3.14,23.72,69.22,1.0,0.0,0
30.2,0.0,5.5,3.62,22.64,71.99,1.0,0.0,0
30.46,0.0,5.5,4.19,22.19,70.71,1.0,0.0,0
32.25,0.0,5.5,4.44,28.85,71.25,1.0,0.0,0
31.97,0.0,5.5,4.58,28.93,72.31,1.0,0.0,0
0.0,0.0,5.36,4.14,32.25,57.14,0.0,0.0,0
33.13,0.0,5.03,2.53,29.03,68.22,1.0,0.0,0
30.45,0.0,5.19,2.55,19.63,68.16,1.0,0.0,0
30.33,0.0,5.43,2.92,19.39,68.3,1.0,0.0,0
29.9,0.0,5.5,3.42,19.65,69.96,1.0,0.0,0
29.75,0.0,5.5,3.71,19.15,69.93,1.0,0.0,0
29.51,0.0,5.5,3.96,19.27,70.82,1.0,0.0,0
31.33,0.0,5.5,4.37,25.57,71.15,1.0,0.0,0
31.51,0.0,5.5,4.59,25.23,70.21,1.0,0.0,0
31.67,0.0,5.5,4.55,24.5,68.94,1.0,0.0,0
30.04,0.0,5.5,4.19,16.66,66.54,1.0,0.0,0
30.51,0.0,5.49,3.56,18.68,67.04,1.0,0.0,0
29.18,0.0,5.5,3.38,19.57,72.17,1.0,0.0,0
28.65,0.0,5.5,4.1,19.84,74.05,1.0,0.0,0
0.0,0.0,5.43,4.49,25.41,59.87,0.0,0.0,0
0.0,0.0,5.14,3.21,26.46,59.97,0.0,0.0,0
31.47,0.0,5.01,2.71,27.27,72.4,1.0,0.0,0
31.33,0.0,5.43,3.83,27.1,72.69,1.0,0.0,0
0.0,0.0,5.45,4.6,30.85,60.23,0.0,0.0,0
0.0,0.0,5.18,3.39,30.96,58.84,0.0,0.0,0
32.32,0.0,5.02,2.61,27.3,69.44,1.0,0.0,0
32.81,0.0,5.31,3.12,29.03,69.41,1.0,0.0,0
30.69,0.0,5.5,3.37,21.55,69.31,1.0,0.0,0
30.72,0.0,5.5,3.49,21.63,69.27,1.0,0.0,0
30.55,0.0,5.5,3.57,21.65,69.86,1.0,0.0,0
30.6,0.0,5.5,3.76,21.92,69.96,1.0,0.0,0
30.79,0.0,5.5,3.93,22.25,69.66,1.0,0.0,0
30.65,0.0,5.5,3.99,22.29,70.15,1.0,0.0,0
32.21,0.0,5.5,4.23,27.9,70.43,1.0,0.0,0
31.98,0.0,5.5,4.25,27.95,71.27,1.0,0.0,0
32.3,0.0,5.5,4.45,27.85,70.06,1.0,0.0,0
30.5,0.0,5.5,4.21,20.43,68.79,1.0,0.0,0
30.83,0.0,5.5,4.05,20.26,67.54,1.0,0.0,0
30.28,0.0,5.5,3.59,20.56,69.66,1.0,0.0,0
30.29,0.0,5.5,3.77,20.07,69.12,1.0,0.0,0
30.06,0.0,5.5,3.79,20.56,70.35,1.0,0.0,0
29.75,0.0,5.5,4.08,20.39,71.19,1.0,0.0,0
30.1,0.0,5.5,4.49,20.78,70.46,1.0,0.0,0
30.24,0.0,5.5,4.73,27.7,76.94,1.0,0.0,0
0.0,0.0,5.25,3.65,31.45,59.69,0.0,0.0,0
0.0,0.0,4.96,2.54,31.44,60.05,0.0,0.0,0
31.62,0.0,5.24,3.38,28.28,72.9,1.0,0.0,0
30.72,0.0,5.5,4.65,29.0,76.66,1.0,0.0,0
0.0,0.0,5.29,3.92,34.52,59.2,0.0,0.0,0
0.0,0.0,4.97,2.61,29.45,56.12,0.0,0.0,0
31.62,0.0,5.15,2.71,22.33,66.91,1.0,0.0,0
31.32,0.0,5.26,2.51,22.83,68.45,1.0,0.0,0
31.18,0.0,5.5,2.88,22.28,68.39,1.0,0.0,0
29.8,0.0,5.5,2.85,22.78,73.44,1.0,0.0,0
30.14,0.0,5.5,3.79,22.26,71.81,1.0,0.0,0
30.06,0.0,5.5,4.31,22.34,72.16,1.0,0.0,0
0.0,0.0,5.5,4.91,30.61,57.47,0.0,0.0,0
0.0,0.0,5.08,2.96,30.6,56.02,0.0,0.0,0
32.36,0.0,5.15,2.66,26.4,68.39,1.0,0.0,0
30.41,0.0,5.36,2.85,19.12,67.78,1.0,0.0,0
30.04,0.0,5.5,3.1,18.52,68.4,1.0,0.0,0
30.21,0.0,5.5,3.14,18.18,67.49,1.0,0.0,0
29.91,0.0,5.5,2.95,17.77,68.07,1.0,0.0,0
29.97,0.0,5.5,2.96,16.97,67.06,1.0,0.0,0
30.28,0.0,5.5,2.74,18.83,67.93,1.0,0.0,0
29.55,0.0,5.5,2.73,19.43,70.85,1.0,0.0,0
29.95,0.0,5.5,3.32,19.03,69.19,1.0,0.0,0
30.32,0.0,5.5,3.53,26.06,75.02,1.0,0.0,0
29.69,0.0,5.5,4.54,26.59,77.59,1.0,0.0,0
0.0,0.0,5.32,4.04,30.38,60.01,0.0,0.0,0
0.0,0.0,5.05,2.91,30.74,57.83,0.0,0.0,0
32.19,0.0,5.02,2.49,26.98,69.59,1.0,0.0,0
30.59,0.0,5.32,3.04,20.0,68.08,1.0,0.0,0
29.87,0.0,5.5,3.3,19.61,70.04,1.0,0.0,0
30.16,0.0,5.5,3.63,19.95,69.43,1.0,0.0,0
30.09,0.0,5.5,3.77,19.58,69.29,1.0,0.0,0
30.04,0.0,5.5,3.85,20.15,70.01,1.0,0.0,0
30.0,0.0,5.5,4.06,20.42,70.42,1.0,0.0,0
31.61,0.0,5.5,4.39,26.6,71.23,1.0,0.0,0
31.43,0.0,5.5,4.59,26.63,71.88,1.0,0.0,0
0.0,0.0,5.38,4.22,30.68,59.61,0.0,0.0,0
0.0,0.0,5.08,2.94,30.39,56.82,0.0,0.0,0
30.92,0.0,5.04,2.39,20.51,67.48,1.0,0.0,0
31.19,0.0,5.24,2.58,21.56,67.63,1.0,0.0,0
31.25,0.0,5.42,2.72,21.6,67.46,1.0,0.0,0
31.02,0.0,5.5,2.83,21.82,68.46,1.0,0.0,0
31.32,0.0,5.5,2.85,21.44,67.06,1.0,0.0,0
31.25,0.0,5.5,2.52,21.63,67.5,1.0,0.0,0
33.29,0.0,5.5,2.43,29.23,67.82,1.0,0.0,0
32.44,0.0,5.5,2.17,30.52,72.24,1.0,0.0,0
31.21,0.0,5.5,2.8,28.7,74.69,1.0,0.0,0
29.58,0.0,5.5,3.8,22.11,73.44,1.0,0.0,0
28.95,0.0,5.5,4.61,22.47,75.75,1.0,0.0,0
0.0,0.0,5.31,3.99,28.23,60.44,0.0,0.0,0
0.0,0.0,5.06,3.01,28.72,59.79,0.0,0.0,0
32.52,0.0,4.97,2.64,29.15,70.57,1.0,0.0,0
32.64,0.0,5.31,3.35,28.65,69.65,1.0,0.0,0
32.76,0.0,5.5,3.8,28.63,69.2,1.0,0.0,0
32.83,0.0,5.5,3.6,28.53,68.83,1.0,0.0,0
30.82,0.0,5.5,3.34,21.89,69.21,1.0,0.0,0
31.14,0.0,5.5,3.42,21.45,67.68,1.0,0.0,0
30.9,0.0,5.5,3.12,21.6,68.66,1.0,0.0,0
31.13,0.0,5.5,3.13,21.26,67.53,1.0,0.0,0
30.27,0.0,5.5,2.86,21.27,70.4,1.0,0.0,0
30.01,0.0,5.5,3.3,21.84,71.79,1.0,0.0,0
32.38,0.0,5.5,3.94,30.44,72.36,1.0,0.0,0
32.14,0.0,5.5,4.35,30.94,73.72,1.0,0.0,0
0.0,0.0,5.5,4.93,34.81,57.99,0.0,0.0,0
0.0,0.0,5.11,3.08,32.28,54.01,0.0,0.0,0
31.43,0.0,4.91,1.89,21.83,67.08,1.0,0.0,0
31.46,0.0,5.08,2.01,21.24,66.37,1.0,0.0,0
31.35,0.0,5.16,1.83,21.23,66.75,1.0,0.0,0
31.43,0.0,5.29,1.84,21.18,66.44,1.0,0.0,0
30.85,0.0,5.37,1.71,18.94,66.17,1.0,0.0,0
30.62,0.0,5.43,1.57,19.24,67.22,1.0,0.0,0
28.98,0.0,5.5,1.97,19.75,72.95,1.0,0.0,0
30.36,0.0,5.5,3.08,26.87,75.7,1.0,0.0,0
30.33,0.0,5.5,4.23,27.16,76.1,1.0,0.0,0
0.0,0.0,5.37,4.21,29.65,59.75,0.0,0.0,0
0.0,0.0,5.08,2.97,29.47,56.93,0.0,0.0,0
32.24,0.0,5.03,2.39,25.9,68.33,1.0,0.0,0
30.32,0.0,5.24,2.61,18.15,67.11,1.0,0.0,0
30.5,0.0,5.4,2.68,17.99,66.38,1.0,0.0,0
30.67,0.0,5.45,2.39,19.12,66.94,1.0,0.0,0
30.28,0.0,5.5,2.47,19.13,68.23,1.0,0.0,0
28.91,0.0,5.5,2.58,19.54,72.95,1.0,0.0,0
27.57,0.0,5.5,3.55,20.03,77.39,1.0,0.0,0
0.0,0.0,5.5,4.99,24.93,58.86,0.0,0.0,0
0.0,0.0,5.15,3.36,29.01,57.62,0.0,0.0,0
32.04,0.0,5.08,2.7,25.88,69.03,1.0,0.0,0
32.09,0.0,5.34,3.11,25.94,68.89,1.0,0.0,0
31.54,0.0,5.5,3.46,26.21,71.07,1.0,0.0,0
30.02,0.0,5.5,3.7,19.37,69.3,1.0,0.0,0
30.54,0.0,5.5,3.81,19.13,67.36,1.0,0.0,0
30.04,0.0,5.5,3.39,18.94,68.8,1.0,0.0,0
29.91,0.0,5.5,3.46,19.19,69.47,1.0,0.0,0
29.74,0.0,5.5,3.65,19.2,70.04,1.0,0.0,0
29.85,0.0,5.5,3.93,19.69,70.17,1.0,0.0,0
29.28,0.0,5.5,4.18,19.86,72.13,1.0,0.0,0
0.0,0.0,5.5,4.81,29.6,59.63,0.0,0.0,0
0.0,0.0,5.18,3.35,30.54,59.71,0.0,0.0,0
31.78,0.0,5.02,2.66,27.68,71.72,1.0,0.0,0
31.27,0.0,5.41,3.65,27.61,73.42,1.0,0.0,0
0.0,0.0,5.48,4.91,33.69,61.3,0.0,0.0,0
0.0,0.0,5.27,3.94,28.98,59.1,0.0,0.0,0
0.0,0.0,4.95,2.59,28.01,57.39,0.0,0.0,0
31.34,0.0,5.06,2.58,21.41,66.97,1.0,0.0,0
31.06,0.0,5.19,2.49,21.68,68.18,1.0,0.0,0
31.34,0.0,5.42,2.81,22.48,68.04,1.0,0.0,0
31.31,0.0,5.5,3.12,29.85,75.55,1.0,0.0,0
33.21,0.0,5.5,4.17,30.68,69.6,1.0,0.0,0
31.71,0.0,5.5,3.93,28.85,73.14,1.0,0.0,0
31.79,0.0,5.5,4.52,28.95,72.95,1.0,0.0,0
0.0,0.0,5.4,4.4,28.01,57.83,0.0,0.0,0
0.0,0.0,5.02,2.67,27.91,56.46,0.0,0.0,0
31.24,0.0,5.09,2.45,21.46,67.35,1.0,0.0,0
31.4,0.0,5.26,2.53,21.63,66.96,1.0,0.0,0
31.23,0.0,5.38,2.42,20.98,66.91,1.0,0.0,0
31.25,0.0,5.49,2.33,20.82,66.69,1.0,0.0,0
31.21,0.0,5.5,2.24,20.73,66.73,1.0,0.0,0
32.45,0.0,5.5,2.1,27.57,69.22,1.0,0.0,0
32.22,0.0,5.5,2.28,27.85,70.35,1.0,0.0,0
30.84,0.0,5.5,2.64,28.3,75.54,1.0,0.0,0
29.28,0.0,5.5,3.75,21.92,74.18,1.0,0.0,0
29.0,0.0,5.5,4.7,22.22,75.37,1.0,0.0,0
0.0,0.0,5.3,4.02,28.48,60.87,0.0,0.0,0
0.0,0.0,5.08,3.19,30.47,58.79,0.0,0.0,0
33.17,0.0,4.93,2.46,31.33,70.36,1.0,0.0,0
33.13,0.0,5.26,3.1,31.36,70.56,1.0,0.0,0
31.82,0.0,5.5,3.71,29.54,73.43,1.0,0.0,0
32.07,0.0,5.5,4.37,28.97,72.01,1.0,0.0,0
30.69,0.0,5.5,4.63,21.98,69.73,1.0,0.0,0
30.21,0.0,5.5,4.56,22.18,71.5,1.0,0.0,0
0.0,0.0,5.39,4.25,28.42,56.02,0.0,0.0,0
