F_PU9,L_T5,P_J306,S_PU9,ATTACK_FLAG
0.0,2.86,82.72,0.0,0
0.0,3.29,86.62,0.0,0
0.0,3.87,87.64,0.0,0
0.0,3.56,64.25,0.0,0
0.0,3.11,64.23,0.0,0
0.0,2.76,63.36,0.0,0
0.0,2.29,63.13,0.0,0
0.0,1.87,61.75,0.0,0
0.0,1.55,81.09,0.0,0
0.0,1.77,81.9,0.0,0
0.0,2.13,81.37,0.0,0
0.0,2.5,82.51,0.0,0
0.0,3.03,81.68,0.0,0
0.0,3.38,81.85,0.0,0
0.0,3.8,81.59,0.0,0
0.0,4.07,63.44,0.0,0
0.0,3.37,62.83,0.0,0
0.0,2.7,62.44,0.0,0
0.0,2.06,61.04,0.0,0
0.0,1.61,82.9,0.0,0
0.0,2.07,83.5,0.0,0
0.0,2.48,80.66,0.0,0
0.0,2.75,80.15,0.0,0
0.0,2.87,80.91,0.0,0
0.0,3.13,81.41,0.0,0
0.0,3.47,83.39,0.0,0
0.0,3.95,63.93,0.0,0
0.0,3.36,63.77,0.0,0
0.0,2.84,63.56,0.0,0
0.0,2.4,62.55,0.0,0
0.0,1.84,62.34,0.0,0
0.0,1.72,81.77,0.0,0
0.0,2.18,80.3,0.0,0
0.0,2.34,80.83,0.0,0
0.0,2.59,82.06,0.0,0
0.0,3.03,82.07,0.0,0
0.0,3.41,81.83,0.0,0
0.0,3.72,84.36,0.0,0
0.0,3.82,63.26,0.0,0
0.0,3.14,63.0,0.0,0
0.0,2.52,61.7,0.0,0
0.0,1.8,61.34,0.0,0
0.0,1.7,82.27,0.0,0
0.0,2.25,80.89,0.0,0
0.0,2.52,81.61,0.0,0
0.0,2.85,81.91,0.0,0
0.0,3.18,81.8,0.0,0
0.0,3.46,82.02,0.0,0
0.0,3.7,83.6,0.0,0
0.0,3.76,63.71,0.0,0
0.0,3.16,63.81,0.0,0
0.0,2.7,63.6,0.0,0
0.0,2.29,63.24,0.0,0
0.0,1.9,62.55,0.0,0
0.0,1.59,82.58,0.0,0
0.0,2.09,83.38,0.0,0
0.0,2.67,82.48,0.0,0
0.0,3.07,82.61,0.0,0
0.0,3.45,82.47,0.0,0
0.0,3.76,83.55,0.0,0
0.0,3.67,61.97,0.0,0
0.0,2.83,61.99,0.0,0
0.0,2.1,61.33,0.0,0
0.0,1.39,81.66,0.0,0
0.0,1.81,82.16,0.0,0
0.0,2.26,82.29,0.0,0
0.0,2.67,82.91,0.0,0
0.0,3.14,85.07,0.0,0
0.0,3.5,83.02,0.0,0
0.0,3.86,82.47,0.0,0
0.0,3.77,62.12,0.0,0
0.0,2.94,62.0,0.0,0
0.0,2.2,61.89,0.0,0
0.0,1.56,61.85,0.0,0
0.0,1.99,82.39,0.0,0
0.0,2.51,84.02,0.0,0
0.0,3.17,87.38,0.0,0
0.0,3.95,88.32,0.0,0
0.0,3.94,64.73,0.0,0
0.0,3.51,62.18,0.0,0
0.0,2.72,61.99,0.0,0
0.0,2.01,59.46,0.0,0
0.0,1.59,80.39,0.0,0
0.0,1.9,81.09,0.0,0
0.0,2.31,82.56,0.0,0
0.0,2.91,82.06,0.0,0
0.0,3.4,84.81,0.0,0
0.0,3.91,84.23,0.0,0
0.0,3.39,62.91,0.0,0
0.0,2.72,62.02,0.0,0
0.0,2.01,61.24,0.0,0
0.0,1.62,80.7,0.0,0
0.0,1.94,81.29,0.0,0
0.0,2.34,80.21,0.0,0
0.0,2.49,81.07,0.0,0
0.0,2.8,80.69,0.0,0
0.0,3.01,81.81,0.0,0
0.0,3.37,82.62,0.0,0
0.0,3.82,83.98,0.0,0
0.0,3.65,64.55,0.0,0
0.0,3.25,64.21,0.0,0
0.0,2.86,63.27,0.0,0
0.0,2.35,62.48,0.0,0
0.0,1.78,60.43,0.0,0
0.0,1.61,84.35,0.0,0
0.0,2.02,81.96,0.0,0
0.0,2.38,82.88,0.0,0
0.0,2.83,83.77,0.0,0
0.0,3.38,83.47,0.0,0
0.0,3.8,84.32,0.0,0
0.0,3.61,62.71,0.0,0
0.0,2.88,61.76,0.0,0
0.0,2.11,60.92,0.0,0
0.0,1.34,84.35,0.0,0
0.0,1.81,82.54,0.0,0
0.0,2.3,82.22,0.0,0
0.0,2.71,82.12,0.0,0
0.0,3.07,81.7,0.0,0
0.0,3.31,81.33,0.0,0
0.0,3.46,82.46,0.0,0
0.0,3.82,83.48,0.0,0
0.0,3.73,63.93,0.0,0
0.0,3.18,63.41,0.0,0
0.0,2.63,63.17,0.0,0
0.0,2.15,63.07,0.0,0
0.0,1.75,62.3,0.0,0
0.0,1.85,83.98,0.0,0
0.0,2.48,83.96,0.0,0
0.0,3.01,83.93,0.0,0
0.0,3.55,83.72,0.0,0
0.0,3.97,62.63,0.0,0
0.0,3.17,62.53,0.0,0
0.0,2.48,60.99,0.0,0
0.0,1.66,60.4,0.0,0
0.0,1.8,81.85,0.0,0
0.0,2.3,81.99,0.0,0
0.0,2.78,82.32,0.0,0
0.0,3.24,82.07,0.0,0
0.0,3.64,82.72,0.0,0
0.0,3.86,62.86,0.0,0
0.0,3.12,61.26,0.0,0
0.0,2.25,59.44,0.0,0
0.0,1.54,78.61,0.0,0
0.0,1.64,79.94,0.0,0
0.0,1.87,82.17,0.0,0
0.0,2.41,83.2,0.0,0
0.0,3.06,85.67,0.0,0
0.0,3.73,87.19,0.0,0
0.0,3.75,64.88,0.0,0
0.0,3.4,64.51,0.0,0
0.0,3.05,63.72,0.0,0
0.0,2.59,63.04,0.0,0
0.0,2.09,62.19,0.0,0
0.0,1.52,60.9,0.0,0
0.0,1.96,82.05,0.0,0
0.0,2.37,82.04,0.0,0
0.0,2.73,82.72,0.0,0
0.0,3.16,82.73,0.0,0
0.0,3.52,83.06,0.0,0
0.0,3.88,83.15,0.0,0
0.0,3.46,61.24,0.0,0
0.0,2.55,60.47,0.0,0
0.0,1.66,58.71,0.0,0
0.0,1.65,81.13,0.0,0
0.0,2.0,80.87,0.0,0
0.0,2.27,81.63,0.0,0
0.0,2.62,81.84,0.0,0
0.0,3.0,82.33,0.0,0
0.0,3.39,82.69,0.0,0
0.0,3.81,83.8,0.0,0
0.0,3.78,64.28,0.0,0
0.0,3.29,64.08,0.0,0
0.0,2.86,64.14,0.0,0
0.0,2.56,63.99,0.0,0
0.0,2.31,63.12,0.0,0
0.0,1.88,62.28,0.0,0
0.0,1.67,85.42,0.0,0
0.0,2.18,82.19,0.0,0
0.0,2.55,82.86,0.0,0
0.0,2.96,83.1,0.0,0
0.0,3.39,83.14,0.0,0
0.0,3.75,82.29,0.0,0
0.0,3.94,83.49,0.0,0
0.0,3.36,62.65,0.0,0
0.0,2.66,62.47,0.0,0
0.0,2.04,61.11,0.0,0
0.0,1.58,81.09,0.0,0
0.0,2.01,80.4,0.0,0
0.0,2.29,80.13,0.0,0
0.0,2.5,80.1,0.0,0
0.0,2.7,80.67,0.0,0
0.0,3.04,81.34,0.0,0
0.0,3.35,81.95,0.0,0
0.0,3.7,82.89,0.0,0
0.0,3.77,64.27,0.0,0
0.0,3.27,64.06,0.0,0
0.0,2.84,63.38,0.0,0
0.0,2.35,62.81,0.0,0
0.0,1.85,62.63,0.0,0
0.0,1.52,81.6,0.0,0
0.0,1.99,82.14,0.0,0
0.0,2.51,81.54,0.0,0
0.0,2.86,81.7,0.0,0
0.0,3.21,83.0,0.0,0
0.0,3.71,84.0,0.0,0
0.0,3.74,63.09,0.0,0
0.0,3.04,62.3,0.0,0
0.0,2.33,62.57,0.0,0
0.0,1.79,61.34,0.0,0
0.0,1.7,81.92,0.0,0
0.0,2.18,82.39,0.0,0
0.0,2.62,82.99,0.0,0
0.0,3.11,82.9,0.0,0
0.0,3.52,82.45,0.0,0
0.0,3.82,82.59,0.0,0
0.0,3.69,62.09,0.0,0
0.0,2.86,61.6,0.0,0
0.0,2.08,60.96,0.0,0
0.0,1.31,83.26,0.0,0
0.0,1.95,84.33,0.0,0
0.0,2.7,87.57,0.0,0
0.0,3.53,86.86,0.0,0
0.0,3.85,63.8,0.0,0
0.0,3.26,63.25,0.0,0
0.0,2.67,63.41,0.0,0
0.0,2.22,60.72,0.0,0
0.0,1.54,82.08,0.0,0
0.0,1.98,81.96,0.0,0
0.0,2.38,82.24,0.0,0
0.0,2.77,83.05,0.0,0
0.0,3.27,82.53,0.0,0
0.0,3.62,83.49,0.0,0
0.0,3.89,62.88,0.0,0
0.0,3.14,63.46,0.0,0
0.0,2.61,61.76,0.0,0
0.0,1.88,61.11,0.0,0
0.0,1.71,81.78,0.0,0
0.0,2.08,80.93,0.0,0
0.0,2.29,81.65,0.0,0
0.0,2.61,82.14,0.0,0
0.0,2.98,81.14,0.0,0
0.0,3.25,82.79,0.0,0
0.0,3.76,83.34,0.0,0
0.0,3.73,64.5,0.0,0
0.0,3.29,64.33,0.0,0
0.0,2.92,62.54,0.0,0
0.0,2.27,62.71,0.0,0
0.0,1.76,61.74,0.0,0
0.0,1.73,79.94,0.0,0
0.0,1.98,80.1,0.0,0
0.0,2.24,81.31,0.0,0
0.0,2.63,81.46,0.0,0
0.0,2.99,82.37,0.0,0
0.0,3.45,82.36,0.0,0
0.0,3.82,84.28,0.0,0
0.0,3.63,63.18,0.0,0
0.0,2.97,62.06,0.0,0
0.0,2.23,61.81,0.0,0
0.0,1.57,60.62,0.0,0
0.0,1.69,80.95,0.0,0
0.0,2.06,80.86,0.0,0
0.0,2.39,80.46,0.0,0
0.0,2.61,81.02,0.0,0
0.0,2.89,81.21,0.0,0
0.0,3.17,82.68,0.0,0
0.0,3.65,83.46,0.0,0
0.0,3.8,63.97,0.0,0
0.0,3.24,63.86,0.0,0
0.0,2.77,63.42,0.0,0
0.0,2.31,62.71,0.0,0
0.0,1.79,62.06,0.0,0
0.0,1.81,86.15,0.0,0
0.0,2.5,85.01,0.0,0
0.0,2.95,81.88,0.0,0
0.0,3.21,83.06,0.0,0
0.0,3.64,83.51,0.0,0
0.0,4.06,63.54,0.0,0
0.0,3.38,63.94,0.0,0
0.0,2.9,61.78,0.0,0
0.0,2.13,61.53,0.0,0
0.0,1.54,84.78,0.0,0
