F_PU1,F_PU2,F_PU3,F_PU8,F_V2,L_T1,P_J14,P_J269,P_J280,P_J302,P_J422,S_PU1,S_PU2,S_PU3,S_PU8,S_V2,ATTACK_FLAG
98.06,98.08,0.0,35.04,69.06,0.79,31.46,34.01,2.97,19.41,30.56,1,1,0,1,1,0
97.46,97.48,0.0,34.7,72.1,0.76,31.39,34.34,2.97,19.87,30.49,1,1,0,1,1,0
96.74,96.76,0.0,34.43,54.46,0.81,33.66,34.72,2.98,20.31,32.76,1,1,0,1,1,0
94.25,94.27,0.0,0.0,62.7,0.93,34.89,36.05,2.98,30.45,33.99,1,1,0,0,1,0
94.75,94.77,0.0,0.0,75.72,1.28,33.18,35.79,2.98,30.32,32.28,1,1,0,0,1,0
94.02,94.04,0.0,0.0,77.26,1.61,33.54,36.18,2.98,30.78,32.64,1,1,0,0,1,0
91.33,91.35,0.0,0.0,0.0,2.01,40.93,37.6,2.98,29.42,40.03,1,1,0,0,1,0
94.68,94.7,0.0,0.0,50.54,2.43,35.92,35.83,2.98,28.12,35.02,1,1,0,0,1,0
96.19,96.21,0.0,36.3,51.06,2.64,34.96,35.02,2.98,20.99,34.06,1,1,0,1,1,0
95.44,95.46,0.0,37.6,52.1,2.7,35.38,35.42,2.98,27.06,34.48,1,1,0,1,1,0
96.39,96.41,0.0,35.55,70.83,2.74,32.86,34.91,2.98,20.76,31.96,1,1,0,1,1,0
96.09,96.11,0.0,35.19,72.7,2.65,32.76,35.07,2.98,20.93,31.86,1,1,0,1,1,0
96.56,96.58,0.0,34.9,71.87,2.59,32.61,34.82,2.98,20.83,31.71,1,1,0,1,1,0
95.51,95.53,0.0,35.55,76.18,2.5,32.57,35.38,2.98,21.09,31.67,1,1,0,1,1,0
95.85,95.87,0.0,34.97,65.89,2.54,33.59,35.2,2.98,21.1,32.69,1,1,0,1,1,0
95.53,95.55,0.0,0.0,70.6,2.59,33.41,35.37,2.98,27.82,32.51,1,1,0,0,1,0
94.72,94.74,0.0,0.0,52.04,2.75,35.85,35.81,2.98,28.21,34.95,1,1,0,0,1,0
94.76,94.78,0.0,0.0,51.92,2.93,35.9,35.78,2.98,28.4,35.0,1,1,0,0,1,0
93.77,93.79,0.0,0.0,52.11,3.19,36.79,36.31,2.98,31.83,35.89,1,1,0,0,1,0
95.57,95.59,0.0,36.1,51.41,3.36,35.51,35.35,2.98,21.12,34.61,1,1,0,1,1,0
92.35,92.37,0.0,36.34,0.0,3.46,40.33,37.06,2.98,22.15,29.87,1,1,0,1,0,0
93.38,93.39,0.0,36.13,0.0,3.67,39.84,36.52,2.98,21.82,26.26,1,1,0,1,0,0
93.78,93.8,0.0,35.95,0.0,3.8,39.67,36.3,2.98,21.8,25.43,1,1,0,1,0,0
91.76,91.78,0.0,36.05,0.0,3.9,40.8,37.38,2.98,22.83,24.66,1,1,0,1,0,0
98.07,98.09,0.0,34.85,70.9,1.05,31.36,34.01,2.97,19.42,30.46,1,1,0,1,1,0
97.67,97.69,0.0,34.86,73.02,1.0,31.28,34.22,2.97,19.92,30.38,1,1,0,1,1,0
97.28,97.3,0.0,34.13,71.14,0.98,31.68,34.44,2.97,20.16,30.78,1,1,0,1,1,0
96.37,96.39,0.0,0.0,74.15,1.02,32.05,34.92,2.98,26.91,31.15,1,1,0,0,1,0
