DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
2016-01-08 00:00:00,2.78,3.16,3.51,3.01,2.82,5.5,3.81,96.35,1.0,96.37,1.0,0.0,0.0,35.14,1.0,0.0,0.0,0.0,0.0,49.94,1.0,0.0,0.0,0.0,0.0,31.4,1.0,0.0,0.0,90.43,1.0,2.98,34.93,27.58,89.44,27.65,85.1,27.69,61.49,27.57,72.93,30.59,29.69,-999.0
2016-01-08 01:00:00,2.79,3.21,4.0,3.18,2.03,5.5,4.4,95.95,1.0,95.97,1.0,0.0,0.0,34.85,1.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,30.91,1.0,0.0,0.0,91.26,1.0,2.98,35.15,27.68,90.03,27.74,87.01,27.88,62.86,27.77,74.77,30.68,29.78,-999.0
2016-01-08 02:00:00,2.89,3.31,4.51,3.7,1.61,5.34,4.01,94.91,1.0,94.93,1.0,0.0,0.0,34.12,1.0,0.0,0.0,0.0,0.0,48.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.56,1.0,2.98,35.71,27.87,91.46,27.94,87.49,30.97,61.97,30.97,59.74,30.89,29.99,-999.0
2016-01-08 03:00:00,2.98,3.42,5.04,4.23,1.99,5.05,2.82,95.09,1.0,95.11,1.0,0.0,0.0,33.21,1.0,0.0,0.0,0.0,0.0,48.11,1.0,36.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.91,1.0,2.98,35.61,27.98,93.07,28.04,88.96,27.5,86.35,27.5,58.97,30.96,30.06,-999.0
2016-01-08 04:00:00,3.02,3.86,5.17,4.06,2.7,5.2,3.05,94.08,1.0,94.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.86,1.0,0.0,0.0,30.04,1.0,0.0,0.0,68.6,1.0,2.98,36.15,32.1,75.98,32.1,68.23,22.19,84.4,22.08,71.97,34.38,33.48,-999.0
2016-01-08 05:00:00,3.11,4.58,4.94,3.14,3.37,5.5,4.26,94.13,1.0,94.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.79,1.0,0.0,0.0,29.16,1.0,0.0,0.0,65.02,1.0,2.98,36.12,32.51,75.59,32.51,69.55,22.43,84.76,22.33,74.97,34.77,33.87,-999.0
2016-01-08 06:00:00,3.19,5.02,4.7,3.8,3.98,5.43,4.65,94.0,1.0,94.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.92,1.0,2.98,36.19,30.67,75.19,30.63,88.14,31.55,64.99,31.55,58.94,33.21,32.31,-999.0
2016-01-08 07:00:00,3.44,5.36,4.45,4.33,3.6,5.1,3.11,94.18,1.0,94.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,1.0,2.98,36.09,30.95,71.66,30.91,90.16,31.63,63.61,31.63,57.26,33.48,32.58,-999.0
2016-01-08 08:00:00,3.79,5.54,4.05,3.86,3.01,5.05,2.55,91.08,1.0,91.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35,1.0,0.0,0.0,0.0,0.0,2.98,37.73,30.54,74.68,30.54,62.82,30.12,62.21,29.99,68.36,41.49,31.73,-999.0
2016-01-08 09:00:00,4.13,5.41,3.81,2.76,2.29,5.26,2.68,91.62,1.0,91.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.65,1.0,0.0,0.0,0.0,0.0,33.62,1.0,0.0,0.0,0.0,0.0,2.98,37.45,28.37,72.52,28.33,84.39,29.97,60.62,29.84,67.22,41.26,29.75,-999.0
